Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Gabon,GAB,..,5.24128264,6.81337653,7.29311894,6.19158487,5.25754026,6.3845826,7.03487392,9.20255803,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Gambia, The",GMB,..,6.91820102,7.81391272,8.24778499,7.79695058,6.035562,4.05526973,2.75882503,2.76238909,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Georgia,GEO,..,4.85252141,6.15339749,5.05578308,5.50601008,6.8516129,7.77956004,9.59785523,10.28717545,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Germany,DEU,..,17.20856765,19.41136088,19.94340395,20.2067963,20.49960412,20.88202889,21.30470741,21.35562314,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Ghana,GHA,..,6.01488834,11.969932,12.14693782,8.97274775,8.67233179,6.71953712,8.55785716,6.53767876,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Greece,GRC,..,9.50900001,12.43713664,10.94928956,10.5379351,8.32331594,9.13373796,8.7848817,10.32122411,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Grenada,GRD,..,6.83060109,9.83741497,9.39570248,9.00069444,7.944375,7.08913649,7.44428365,9.01766308,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Guatemala,GTM,..,13.95793121,14.07985318,13.70541051,13.96399555,15.81583024,16.58591124,15.73127267,17.94450555,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Guinea,GIN,..,2.93141918,1.90362985,3.18154814,2.56631088,2.6213234,3.02618735,1.97823354,4.11337835,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Guinea-Bissau,GNB,..,13.73607386,5.9413982,2.86901647,8.82198842,14.07285176,8.80042572,9.35014913,12.87863353,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Guyana,GUY,..,7.14411487,5.63006073,6.27072132,6.67900072,8.06208853,8.61990722,7.78919936,7.72291491,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Haiti,HTI,..,16.1441636,6.02310433,2.97943362,2.71360965,2.98141292,3.19221678,3.97919233,4.42002551,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Honduras,HND,..,13.67898511,13.96672351,15.02672442,12.83597761,10.86219316,11.49603826,11.42764135,14.03866276,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Hungary,HUN,..,9.88639756,10.17543079,10.10098687,9.98777785,9.75031908,9.58468962,9.4453573,10.42414064,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Iceland,ISL,..,17.60674236,14.36090185,14.93650245,14.94576656,15.56045749,15.21207523,15.88371598,14.93631536,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,India,IND,..,3.29074313,3.16940536,3.48778336,3.51782788,3.09947248,3.02726097,3.14426719,3.14426719,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Indonesia,IDN,..,3.77125802,4.50957112,4.51635054,4.62932045,4.8549942,5.78062542,6.94031114,8.3103898,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Iran, Islamic Rep.",IRN,..,10.95240323,11.88721881,12.03955113,15.95887923,16.04641068,22.59989396,22.59989396,22.59989396,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Iraq,IRQ,..,..,4.81416167,4.81649941,2.35235057,2.38968404,2.38474728,1.6955982,1.69554666,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Ireland,IRL,..,14.82487216,12.30170986,16.53828706,18.23929377,18.05499646,18.15874176,18.38134549,19.65408076,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Israel,ISR,..,8.93811709,10.71264531,10.79628798,10.76214637,10.95700277,11.15368655,11.6295158,11.55982987,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Italy,ITA,..,12.10217065,14.07980572,13.7786589,13.43320218,13.33372387,13.39155609,13.34339606,13.47361979,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Jamaica,JAM,..,11.84148647,9.017373,9.24201555,9.38978703,11.69388381,11.17117788,12.89568501,12.84707816,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Japan,JPN,..,15.32893674,18.93996009,21.73340109,22.25695265,22.27055839,22.61698042,23.20783653,23.38924133,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Jordan,JOR,..,12.77641278,18.39201261,16.93619524,15.81375839,12.80104401,12.59059847,11.95502811,11.95502811,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Kazakhstan,KAZ,..,9.24496644,8.20522811,8.67686575,9.44636312,9.32419291,8.7501725,8.37530205,9.39965497,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Kenya,KEN,..,7.10531866,7.31673196,7.60988737,7.52511859,7.32042533,6.68687228,6.3169891,6.06159943,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Kiribati,KIR,..,11.40623529,10.29496403,9.23225806,8.02857143,8.58045977,6.97021277,6.25806452,5.54298318,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Korea, Rep.",KOR,..,8.01797082,12.15490947,11.62073529,11.58212853,12.21135791,12.53053764,12.8555101,13.45279736,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Kuwait,KWT,..,5.22458629,5.21621622,5.77571669,5.63693089,5.73217982,6.20608899,6.20634497,6.20634497,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Kyrgyz Republic,KGZ,..,7.06400648,9.20566578,9.8833129,10.40071111,10.34640499,10.56507719,7.28346832,6.60058698,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Lao PDR,LAO,..,6.17412487,2.70533513,1.7635953,2.05819317,2.82250744,2.83701744,3.76100371,3.73811605,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Latvia,LVA,..,7.42132278,8.13227889,8.74237833,8.61514207,8.5899494,8.55758505,8.52180087,9.18414876,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Lebanon,LBN,..,7.53721492,10.29376185,12.42854853,13.2357421,13.01930235,13.67584426,14.33259002,14.33259002,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Lesotho,LSO,..,7.69230769,8.64952463,9.00924472,9.57992903,9.77173279,11.71761783,11.27616,10.89962413,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Liberia,LBR,..,4.96490949,2.38660597,5.06097985,2.67650897,0.92522997,2.41919338,3.06823311,3.86083871,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Libya,LBY,..,6.03982069,4.33412725,6.41958401,..,..,..,0,0,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Lithuania,LTU,..,10.57113112,11.45559931,10.75778612,11.60108164,11.34616657,11.90797238,12.26756034,12.79544739,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Luxembourg,LUX,..,12.76385958,13.50065283,11.97604329,12.40949396,12.52333266,12.70447737,12.22707416,11.88073981,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Madagascar,MDG,..,12.36370848,15.20974119,12.48884839,9.68935304,10.26806504,13.92411887,15.61053558,17.8289429,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Malawi,MWI,..,7.06595732,5.79468932,6.77999672,5.07818192,7.04252016,8.4839386,9.70801628,9.8298855,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Malaysia,MYS,..,4.60452144,6.32042395,6.53238852,6.61069623,6.82790359,7.85312495,8.23818947,8.22692769,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Maldives,MDV,..,8.84137427,13.60365379,12.28130926,14.19175791,14.53143773,14.4005783,18.17804127,20.15013102,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Mali,MLI,..,5.38883471,3.19974599,3.38598326,3.01404463,3.64251749,4.44175821,4.65532062,5.42882503,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Malta,MLT,..,11.79440488,12.8995941,13.3781924,13.21935526,14.2167202,14.01855775,14.16853502,15.82052367,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Marshall Islands,MHL,..,26.06229385,14.23567368,17.81206563,19.21524375,20.38621845,19.00819457,20.19216117,20.68022609,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Mauritania,MRT,..,2.49199353,4.22288949,4.38164718,4.15112244,5.26749595,5.21652293,5.53024312,5.53024312,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Mauritius,MUS,..,6.87927111,8.29588064,7.36220394,8.31904358,8.00718372,10.52838741,9.46467117,9.96158151,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Mexico,MEX,..,9.96524872,10.90599965,10.85447463,10.64534415,11.24487312,10.34790604,10.86499002,10.41154701,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,"Micronesia, Fed. Sts.",FSM,..,2.59440127,3.39985,4.6497931,3.95132864,4.64106878,6.15851513,5.77191514,5.73456574,..,..,..
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,Moldova,MDA,..,8.52794461,13.62691981,13.03698971,13.1739701,12.49917481,12.7572826,12.21473485,12.12292963,..,..,..
